Date,IPO_Name,Profile,Issue_Size,QIB,HNI,RII,Total,Bid_Price,Listing_Open,Listing_Close,Listing_Gains,CMP,Current_Gains
17-11-17,HDFC Life,/ipo/hdfc-life_HSL01.html,8695.01,16.6,2.29,0.9,4.89,290.0,313.0,344.25,18.71,702.5,142.24
14-11-17,Khadim India,/ipo/khadim-india_KIL06.html,493.06,2.45,0.18,2.34,1.9,750.0,727.0,688.5,-8.2,271.7,-63.77
10-11-17,Mahindra Logist,/ipo/mahindra-logist_ML12.html,829.36,15.61,2.07,6.11,7.9,429.0,425.0,429.15,0.03,738.5,72.14
06-11-17,Nippon,/ipo/nippon_RNL.html,1542.0,118.41,209.44,5.23,81.33,252.0,289.0,284.0,12.7,403.45,60.1
25-10-17,General Insuran,/ipo/general-insuran_GIC12.html,11372.0,2.25,0.22,0.63,1.38,912.0,870.4,435.2,-52.28,145.8,-84.01
23-10-17,IEX,/ipo/iex_IEE.html,1000.7,2.56,0.85,2.61,2.28,1650.0,1500.0,162.65,-90.14,786.15,-52.35
16-10-17,Godrej Agrovet,/ipo/godrej-agrovet_GA08.html,1157.31,150.96,236.04,7.67,95.41,460.0,615.0,595.55,29.47,582.4,26.61
05-10-17,Prataap Snacks,/ipo/prataap-snacks-_PS20.html,481.94,76.89,101.15,7.62,46.97,938.0,1250.0,1178.3,25.62,720.55,-23.18
03-10-17,SBI Life Insura,/ipo/sbi-life-insura_SLI03.html,8400.0,12.56,0.7,0.81,3.55,700.0,735.0,708.0,1.14,1180.0,68.57
27-09-17,ICICI Lombard,/ipo/icici-lombard-_ILG.html,5700.94,8.93,0.83,1.23,2.98,661.0,651.0,681.55,3.11,1507.0,127.99
25-09-17,Capacite Infra,/ipo/capacite-infra_CI31.html,400.0,131.32,638.05,17.57,183.03,250.0,360.0,342.4,36.96,169.3,-32.28
21-09-17,Matrimony.com,/ipo/matrimony.com_M13.html,501.07,1.88,0.41,18.16,4.44,985.0,985.0,901.2,-8.51,976.35,-0.88
18-09-17,Bharat Road Net,/ipo/bharat-road-net_BRN.html,600.65,1.33,1.63,5.16,1.75,205.0,205.0,208.15,1.54,28.1,-86.29
18-09-17,Dixon Technolog,/ipo/dixon-technolog_DT07.html,599.28,134.66,345.62,9.46,117.27,1766.0,2725.0,578.56,-67.24,5384.45,204.9
04-09-17,Apex Frozen,/ipo/apex-frozen_AFF.html,152.25,1.91,7.82,8.53,6.14,175.0,202.0,209.85,19.91,290.6,66.06
11-08-17,Cochin Shipyard,/ipo/cochin-shipyard_CS17.html,1454.0,63.51,288.87,8.12,76.06,432.0,461.0,522.0,20.83,361.35,-16.35
10-08-17,SIS,/ipo/sis_SIS07.html,362.25,5.64,1.65,18.67,6.92,815.0,875.0,378.35,-53.58,493.0,-39.51
25-07-17,Salasar Techno,/ipo/salasar-techno-_STE02.html,35.87,0.0,487.18,58.59,277.28,108.0,259.45,272.1,151.94,262.85,143.38
10-07-17,AU Small Financ,/ipo/au-small-financ_ASF03.html,1912.51,78.77,143.51,3.52,53.6,358.0,544.0,541.2,51.17,1215.25,239.46
04-07-17,GTPL Hathway,/ipo/gtpl-hathway_GH02.html,484.8,1.48,2.48,0.99,1.53,170.0,170.0,171.65,0.97,265.25,56.03
30-06-17,CDSL,/ipo/cdsl_CDS.html,523.99,148.71,563.03,23.83,170.16,149.0,250.0,261.6,75.57,1502.4,908.32
29-06-17,Eris Life,/ipo/eris-life_EL01.html,1741.1,4.68,0.45,3.51,3.29,603.0,612.0,601.05,-0.32,762.95,26.53
27-06-17,Tejas Networks,/ipo/tejas-networks_TN.html,326.69,2.16,0.48,3.1,1.88,257.0,257.7,263.3,2.45,442.75,72.28
06-06-17,IndiGrid InvIT,/ipo/indigrid-invit-_IIF01.html,2250.0,1.14,1.6,0.0,1.35,100.0,99.7,95.08,-4.92,140.95,40.95
29-05-17,PSP Projects,/ipo/psp-projects_PP33.html,211.68,8.38,10.39,6.47,8.58,210.0,195.0,208.95,-0.5,511.5,143.57
19-05-17,HUDCO,/ipo/hudco_HUD.html,1224.0,55.45,330.36,10.79,79.53,58.0,76.5,72.5,25.0,41.3,-28.79
09-05-17,S Chand and Co,/ipo/s-chand-and-co_CCL04.html,325.0,44.27,204.65,6.07,59.49,670.0,675.85,675.85,0.87,117.0,-82.54
05-04-17,Shankara Buildi,/ipo/shankara-buildi_SBP02.html,232.96,51.62,90.68,15.35,41.88,460.0,545.0,632.8,37.57,558.65,21.45
31-03-17,CL Educate,/ipo/cl-educate_CE10.html,238.95,3.65,0.21,1.63,1.9,500.0,398.0,208.95,-58.21,120.35,-75.93
21-03-17,Avenue Supermar,/ipo/avenue-supermar_AS28.html,1870.0,144.61,277.74,7.3,104.48,299.0,604.0,640.75,114.3,5082.8,1599.93
17-03-17,Music Broadcast,/ipo/music-broadcast_MB04.html,488.53,39.78,109.13,9.85,39.67,333.0,413.0,59.7,-82.07,23.7,-92.88
03-02-17,BSE Limited,/ipo/bse-limited_B03.html,1243.0,48.64,159.03,6.48,51.22,806.0,1085.0,1069.2,32.66,1603.4,98.93
19-12-16,Laurus Labs,/ipo/laurus-labs_LL06.html,560.7,10.54,3.57,1.58,4.53,428.0,489.9,96.1,-77.55,481.85,12.58
09-12-16,Sheela Foam,/ipo/sheela-foam_SF30.html,178.5,14.51,3.35,0.44,5.09,730.0,860.0,1032.0,41.37,3192.0,337.26
08-11-16,Varun Beverages,/ipo/varun-beverages_VB05.html,1114.0,4.94,0.42,0.82,1.86,445.0,430.0,205.29,-53.87,951.0,113.71
07-11-16,PNB Housing Fin,/ipo/pnb-housing-fin_PHF.html,3000.0,37.33,86.17,1.32,29.53,775.0,860.0,890.6,14.92,459.9,-40.66
19-10-16,Endurance Techn,/ipo/endurance-techn_ET04.html,1161.0,1.7,0.13,0.82,0.92,472.0,572.0,647.7,37.22,1754.45,271.71
04-10-16,HPL Electric &,/ipo/hpl-electric-and-_HEP.html,361.0,5.77,22.2,3.31,8.06,202.0,190.0,189.05,-6.41,62.95,-68.84
29-09-16,ICICI Prudentia,/ipo/icici-prudentia_IPL01.html,6057.0,11.83,28.55,1.42,10.48,334.0,329.0,297.65,-10.88,640.7,91.83
27-09-16,GNA Axles,/ipo/gna-axles_A11.html,130.41,17.18,217.47,11.84,54.88,207.0,252.0,233.45,12.78,751.35,262.97
23-09-16,L&T Technology,/ipo/landt-technology_LTS.html,900.0,5.01,1.03,1.74,2.52,860.0,900.0,865.1,0.59,5615.45,552.96
31-08-16,RBL Bank,/ipo/rbl-bank_RB02.html,1100.0,85.08,198.06,5.7,69.62,225.0,274.4,299.3,33.02,203.6,-9.51
12-08-16,S P Apparels,/ipo/s-p-apparels_A09.html,215.0,1.0,0.45,0.54,0.66,268.0,275.0,295.0,10.07,412.05,53.75
11-08-16,Dilip Buildcon,/ipo/dilip-buildcon_DB03.html,430.0,0.0,0.0,0.0,0.0,219.0,240.0,251.95,15.05,562.0,156.62
01-08-16,Advanced Enzyme,/ipo/advanced-enzyme_AET02.html,60.0,94.03,393.1,11.67,116.02,896.0,1210.0,235.66,-73.7,337.15,-62.37
21-07-16,L&T Infotech,/ipo/landt-infotech_LI09.html,1242.0,19.91,10.76,7.39,11.69,710.0,667.0,697.65,-1.74,7184.8,911.94
12-07-16,Quess Corp,/ipo/quess-corp_QC.html,400.0,59.02,392.21,31.23,143.99,317.0,500.0,503.0,58.68,906.7,186.03
01-07-16,Mahanagar Gas,/ipo/mahanagar-gas_MG02.html,1039.64,72.84,191.61,6.82,64.54,421.0,540.0,519.9,23.49,963.85,128.94
19-05-16,Parag Milk Food,/ipo/parag-milk-food_PMF01.html,764.3,1.15,3.08,2.12,1.83,215.0,230.0,247.8,15.26,141.45,-34.21
10-05-16,Ujjivan Financi,/ipo/ujjivan-financi_UFS01.html,358.16,33.84,135.45,4.02,40.68,210.0,231.9,231.6,10.29,143.9,-31.48
09-05-16,Thyrocare Techn,/ipo/thyrocare-techn_TT14.html,479.21,73.18,225.3,8.73,73.55,446.0,662.0,618.1,38.59,1195.0,167.94
21-04-16,Equitas Holding,/ipo/equitas-holding_EH03.html,2159.0,14.93,57.29,1.4,17.21,110.0,145.1,135.25,22.95,120.75,9.77
01-04-16,Bharat Wire Rop,/ipo/bharat-wire-rop_BWR01.html,70.0,1.01,2.02,2.08,1.21,45.0,47.25,45.4,0.89,58.95,31.0
18-02-16,Quick Heal Tech,/ipo/quick-heal-tech_QHT.html,450.0,4.34,36.69,3.82,10.8,321.0,305.0,254.45,-20.73,222.2,-30.78
12-02-16,TeamLease Ser.,/ipo/teamlease-ser._TS15.html,273.68,26.97,185.24,10.61,66.02,850.0,860.0,1021.95,20.23,3988.2,369.2
08-02-16,Precision Camsh,/ipo/precision-camsh_PC24.html,410.0,2.62,0.73,2.01,1.91,186.0,165.0,177.25,-4.7,120.4,-35.27
06-01-16,Narayana Hruda,/ipo/narayana-hruda_NH.html,613.0,0.01,0.01,0.13,0.07,250.0,291.0,336.7,34.68,584.45,133.78
23-12-15,Alkem Lab,/ipo/alkem-lab_AL16.html,1349.6,57.19,129.96,3.17,44.29,1050.0,1380.0,1381.45,31.57,3482.15,231.63
23-12-15,Dr Lal PathLab,/ipo/dr-lal-pathlab_DLP01.html,638.0,63.56,61.28,4.24,33.41,550.0,717.0,824.15,49.85,3582.15,551.3
16-11-15,S H Kelkar,/ipo/s-h-kelkar_KC17.html,200.0,0.0,0.0,0.0,0.0,180.0,216.0,207.3,15.17,158.05,-12.19
10-11-15,Interglobe Avi,/ipo/interglobe-avi_IA05.html,3000.0,17.8,3.57,0.92,6.15,765.0,868.0,878.45,14.83,2250.75,194.22
02-11-15,Coffee Day,/ipo/coffee-day_CDE.html,1150.0,4.39,0.54,0.9,1.82,328.0,313.0,270.15,-17.64,36.85,-88.77
21-09-15,Prabhat Dairy,/ipo/prabhat-dairy_PD07.html,300.0,0.88,1.42,0.34,0.77,115.0,113.0,116.35,1.17,99.65,-13.35
16-09-15,Sadbhav Infra,/ipo/sadbhav-infra_SIP.html,425.0,3.04,1.66,1.69,2.24,103.0,111.0,106.15,3.06,14.1,-86.31
10-09-15,Shree Pushkar,/ipo/shree-pushkar_SPC03.html,70.0,0.97,2.09,1.54,1.34,65.0,60.05,63.0,-3.08,225.5,246.92
